<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.03.15	04:09:00	1.19580	1.19594	1.19580	1.19587	56	0	1
2021.03.15	04:10:00	1.19587	1.19590	1.19584	1.19588	27	0	1
2021.03.15	04:11:00	1.19588	1.19590	1.19584	1.19584	25	0	1
2021.03.15	04:12:00	1.19584	1.19587	1.19580	1.19582	33	0	1
2021.03.15	04:13:00	1.19581	1.19588	1.19581	1.19585	31	0	1
2021.03.15	04:14:00	1.19585	1.19591	1.19581	1.19588	44	0	1
2021.03.15	04:15:00	1.19587	1.19589	1.19578	1.19578	25	0	1
2021.03.15	04:16:00	1.19579	1.19585	1.19576	1.19576	36	0	1
2021.03.15	04:17:00	1.19576	1.19579	1.19565	1.19565	46	0	1
2021.03.15	04:18:00	1.19566	1.19566	1.19536	1.19542	87	0	1
2021.03.15	04:19:00	1.19543	1.19550	1.19532	1.19545	57	0	1
2021.03.15	04:20:00	1.19545	1.19545	1.19534	1.19538	41	0	1
2021.03.15	04:21:00	1.19538	1.19540	1.19525	1.19540	89	0	1
2021.03.15	04:22:00	1.19540	1.19540	1.19522	1.19523	80	0	1
2021.03.15	04:23:00	1.19524	1.19529	1.19521	1.19528	59	0	1
2021.03.15	04:24:00	1.19528	1.19535	1.19522	1.19522	36	0	1
2021.03.15	04:25:00	1.19522	1.19528	1.19512	1.19516	100	0	1
2021.03.15	04:26:00	1.19517	1.19533	1.19514	1.19531	88	0	1
2021.03.15	04:27:00	1.19532	1.19532	1.19505	1.19510	92	0	1
2021.03.15	04:28:00	1.19509	1.19513	1.19496	1.19496	82	0	1
2021.03.15	04:29:00	1.19495	1.19495	1.19468	1.19480	158	0	1
2021.03.15	04:30:00	1.19480	1.19497	1.19476	1.19483	88	0	1
2021.03.15	04:31:00	1.19483	1.19502	1.19479	1.19493	53	0	1
2021.03.15	04:32:00	1.19492	1.19509	1.19492	1.19507	58	0	1
2021.03.15	04:33:00	1.19507	1.19510	1.19496	1.19502	34	0	1
2021.03.15	04:34:00	1.19502	1.19509	1.19501	1.19506	39	0	1
2021.03.15	04:35:00	1.19505	1.19510	1.19501	1.19501	33	0	1
2021.03.15	04:36:00	1.19502	1.19505	1.19498	1.19500	15	0	1
2021.03.15	04:37:00	1.19498	1.19498	1.19479	1.19484	34	0	1
2021.03.15	04:38:00	1.19484	1.19484	1.19466	1.19471	82	0	1
2021.03.15	04:39:00	1.19471	1.19471	1.19456	1.19462	77	0	1
2021.03.15	04:40:00	1.19462	1.19478	1.19462	1.19475	61	0	1
2021.03.15	04:41:00	1.19473	1.19479	1.19471	1.19479	51	0	1
2021.03.15	04:42:00	1.19477	1.19480	1.19463	1.19470	45	0	1
2021.03.15	04:43:00	1.19470	1.19470	1.19452	1.19456	50	0	1
2021.03.15	04:44:00	1.19456	1.19467	1.19455	1.19466	62	0	1
2021.03.15	04:45:00	1.19467	1.19468	1.19454	1.19460	73	0	1
2021.03.15	04:46:00	1.19460	1.19460	1.19456	1.19456	13	0	1
2021.03.15	04:47:00	1.19453	1.19453	1.19433	1.19447	98	0	1
2021.03.15	04:48:00	1.19446	1.19459	1.19446	1.19458	46	0	1
2021.03.15	04:49:00	1.19458	1.19475	1.19455	1.19471	64	0	1
2021.03.15	04:50:00	1.19471	1.19484	1.19464	1.19479	62	0	1
2021.03.15	04:51:00	1.19479	1.19485	1.19479	1.19480	36	0	1
2021.03.15	04:52:00	1.19479	1.19482	1.19464	1.19472	48	0	1
2021.03.15	04:53:00	1.19472	1.19481	1.19471	1.19480	36	0	1
2021.03.15	04:54:00	1.19480	1.19487	1.19480	1.19487	26	0	1
2021.03.15	04:55:00	1.19487	1.19489	1.19479	1.19488	25	0	1
2021.03.15	04:56:00	1.19488	1.19488	1.19478	1.19479	17	0	1
2021.03.15	04:57:00	1.19479	1.19490	1.19478	1.19488	36	0	1
2021.03.15	04:58:00	1.19488	1.19488	1.19479	1.19482	25	0	1
2021.03.15	04:59:00	1.19481	1.19484	1.19475	1.19478	38	0	1
2021.03.15	05:00:00	1.19476	1.19488	1.19474	1.19477	60	0	1
2021.03.15	05:01:00	1.19478	1.19479	1.19473	1.19477	44	0	1
2021.03.15	05:02:00	1.19477	1.19490	1.19477	1.19489	34	0	1
2021.03.15	05:03:00	1.19489	1.19490	1.19484	1.19490	17	0	1
2021.03.15	05:04:00	1.19489	1.19500	1.19487	1.19499	42	0	1
2021.03.15	05:05:00	1.19498	1.19505	1.19495	1.19504	38	0	1
2021.03.15	05:06:00	1.19505	1.19505	1.19483	1.19486	53	0	1
2021.03.15	05:07:00	1.19486	1.19488	1.19477	1.19479	53	0	1
2021.03.15	05:08:00	1.19479	1.19485	1.19473	1.19483	50	0	1
2021.03.15	05:09:00	1.19483	1.19494	1.19481	1.19493	45	0	1
